Hotel_Name,Rating,Comments,No_of_reviews,Price,Gst
OLIVE Service Apartments DLF Galleria Gurgaon,8.8,Excellent,17 reviews,"₹28,792","+₹3,455 taxes and charges"
The Altruist Business Stays - Medanta,7.0,Good,3 reviews,"₹28,800","+₹3,456 taxes and charges"
Saltstayz Grand Sky - Unitech Cyber Park,9.1,Wonderful,185 reviews,"₹29,160","+₹3,499 taxes and charges"
Lime Tree Two BHK Service Apartment Golf Course Road Gurgaon,8.8,Excellent,37 reviews,"₹29,196","+₹3,504 taxes and charges"
Treebo Tryst Eden Residency South City 1,7.2,Good,37 reviews,"₹29,230","+₹3,508 taxes and charges"
Avanti Tenantry- Gurugram,8.4,Very Good,24 reviews,"₹29,400","+₹3,528 taxes and charges"
Treebo Trend Blue Moon Residency,8.2,Very Good,64 reviews,"₹29,581","+₹3,550 taxes and charges"
"BedChambers Serviced Apartments, Sushant Lok",8.4,Very Good,40 reviews,"₹29,866",Additional charges may apply
Hotel Sakura by Maps,7.3,Good,104 reviews,"₹29,946","+₹3,594 taxes and charges"
Lime Tree Hotel Near 32nd Avenue Sector 29 Gurgaon,8.1,Very Good,95 reviews,"₹29,968","+₹3,596 taxes and charges"
1 BHK Serviced Apartments- Golf Course Road Gurgaon,9.2,Wonderful,29 reviews,"₹30,354","+₹3,643 taxes and charges"
Imperial Apartments Huda City,8.2,Very Good,12 reviews,"₹30,400","+₹3,648 taxes and charges"
Bed&amp;Oats Studios,8.5,Very Good,20 reviews,"₹30,400","+₹3,648 taxes and charges"
Serviced Apartments near Medanta Hospital Gurgaon,10,Exceptional,5 reviews,"₹30,680","+₹3,682 taxes and charges"
Dev Royale Hotel,10,Exceptional,2 reviews,"₹30,976","+₹3,717 taxes and charges"
The Palms Inn,8.5,Very Good,89 reviews,"₹31,184","+₹3,742 taxes and charges"
"The Empire - Signature Tower,Cyber City, Gurgaon",7.5,Good,28 reviews,"₹31,920","+₹3,830 taxes and charges"
Hotel Windsor Heights,7.9,Good,54 reviews,"₹32,000","+₹3,840 taxes and charges"
"When In Gurgaon - Service Apartments, Next to Artemis Hospital",8.1,Very Good,53 reviews,"₹32,000","+₹3,840 taxes and charges"
Hotel Gurugram,9.0,Wonderful,5 reviews,"₹32,000","+₹3,840 taxes and charges"
Indiyaah Inn,9.1,Wonderful,9 reviews,"₹32,400","+₹3,888 taxes and charges"
Perch Service Apartment DLF Cyber City,8.5,Very Good,15 reviews,"₹33,113","+₹3,974 taxes and charges"
"Beautiful Apartments at Tarudhan Valley Golf Resort, Manesar",7.9,Good,168 reviews,"₹33,480","+₹6,026 taxes and charges"
ibis Gurgaon Golf Course Road - An Accor Brand,7.2,Good,"1,176 reviews","₹33,832","+₹4,060 taxes and charges"
Perch Service Apartments - Sector 40,10,Exceptional,1 review,"₹33,997","+₹6,119 taxes and charges"
Bloom Boutique l Signature Towers,7.8,Good,414 reviews,"₹34,000","+₹4,080 taxes and charges"
Hotel Omega - Gurgaon Central,7.7,Good,122 reviews,"₹34,192","+₹4,103 taxes and charges"
Ahuja Residency Cyber City II,7.7,Good,47 reviews,"₹34,402","+₹4,128 taxes and charges"
"BedChambers Serviced Apartments, Sector 38",8.5,Very Good,30 reviews,"₹35,280",Additional charges may apply
FARM &amp; POOL PARTY 2 acre with 2 rooms,7.5,Good,11 reviews,"₹35,996","+₹6,479 taxes and charges"
Bloom Hotel - Sector 43,8.0,Very Good,5 reviews,"₹36,000","+₹4,320 taxes and charges"
Hotel Limon,10,Exceptional,3 reviews,"₹36,792","+₹4,415 taxes and charges"
Sky Suites,7.6,Good,267 reviews,"₹36,888","+₹4,427 taxes and charges"
ZEN Studios - DLF CyberCity Gurgaon,8.7,Excellent,181 reviews,"₹37,312","+₹4,477 taxes and charges"
Perch Service Apartment-MG Road,7.5,Good,23 reviews,"₹37,393","+₹4,487 taxes and charges"
Ahuja Residency Park Lane Gurgaon,8.1,Very Good,35 reviews,"₹38,160","+₹4,579 taxes and charges"
Bloom - Golf Course Road,7.9,Good,79 reviews,"₹40,000","+₹4,800 taxes and charges"
The Atara,7.3,Good,84 reviews,"₹40,368","+₹4,844 taxes and charges"
Savoy Suites Manesar,7.6,Good,120 reviews,"₹41,600","+₹4,992 taxes and charges"
"Bedchambers Serviced Apartments, Ardee City",9.1,Wonderful,15 reviews,"₹42,120",Additional charges may apply
"Lemon Tree Hotel, Sohna Road",7.4,Good,82 reviews,"₹42,694","+₹10,161 taxes and charges"
Olive Service Apartments - DLF Cyber City,8.7,Excellent,23 reviews,"₹43,196","+₹7,775 taxes and charges"
"Udman By Ferns N Petals, Gurugram",8.9,Excellent,28 reviews,"₹43,553","+₹5,226 taxes and charges"
Ahuja Residency Cyber City I,7.7,Good,7 reviews,"₹45,512","+₹5,461 taxes and charges"
DLF Club 3,8.0,Very Good,71 reviews,"₹45,752","+₹5,490 taxes and charges"
